date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2024-12-01,1.3533048212099512,1.3533048158632794,1.35330482521027,38676726059
2024-12-02,1.370969964086306,1.3709699581612258,1.3709699685292116,38676726059
2024-12-03,1.3886351069626612,1.3886351006384579,1.3886351120576306,38676726059
2024-12-04,1.406300249839016,1.4063002426861158,1.4063002554706865,38676726059
2024-12-05,1.4239653927153708,1.4239653851147707,1.423965398936155,38676726059
2024-12-06,1.441630535591726,1.4416305277609092,1.4416305425924998,38676726059
2024-12-07,1.4592956784680808,1.4592956699453823,1.4592956861112107,38676726059
2024-12-08,1.4769608213444356,1.4769608122257558,1.476960829416959,38676726059
2024-12-09,1.4946259642207909,1.4946259544281102,1.4946259729632398,38676726059
2025-02-18,4.622161673989481,3.2467912385564976,6.03632132080228,38676919811
2025-02-19,4.638466735260086,3.2623081205242532,6.09230089717196,38676919811
2025-02-20,4.6547717965306905,3.327179439407342,6.142887504637267,38676919811
2025-02-21,4.671076857801296,3.3455286877845802,6.056588980407673,38676919811
2025-02-22,4.6873819190719015,3.3177141785558106,6.115892460188341,38676919811
2025-02-23,4.703686980342506,3.234872366239159,6.164278499071512,38676919811
2025-02-24,4.719992041613111,3.3256351676287728,6.0718228563179535,38676919811
2025-02-25,4.736297102883716,3.40250522644479,6.116684381901279,38676919811
2025-02-26,4.752602164154322,3.395938028115557,6.086932190023105,38676919811
2025-02-27,4.768907225424926,3.3472518042968677,6.248856776752801,38676919811
2025-02-28,4.785212286695532,3.4640651361996118,6.122456674203133,38676919811
2025-03-01,4.8015173479661355,3.353107733964213,6.233554005196495,38676919811
2025-03-02,4.817822409236741,3.4226741526080455,6.226202556030293,38676919811
2025-03-03,4.834127470507346,3.418564533154649,6.258827291627769,38676919811
2025-03-04,4.850432531777951,3.5319291081839177,6.220479834234948,38676919811
2025-03-05,4.866737593048556,3.355652933469176,6.192416651259619,38676919811
2025-03-06,4.883042654319161,3.4734853586239023,6.239628063520916,38676919811
2025-03-07,4.899347715589766,3.6267266367948015,6.400389922794313,38676919811
2025-03-08,4.915652776860371,3.513518304530474,6.336663546389411,38676919811
2025-03-09,4.931957838130977,3.6117442810058753,6.324212170256219,38676919811
2025-03-10,4.948262899401581,3.449205027272951,6.424023590575447,38676919811
2025-03-11,4.964567960672186,3.6623540589501573,6.485181516907107,38676919811
2025-03-12,4.9808730219427915,3.458518141846483,6.431771945574375,38676919811
2025-03-13,4.997178083213397,3.47756603409417,6.326991462030211,38676919811
2025-03-14,5.013483144484001,3.6422012073509977,6.540738136300522,38676919811
2025-03-15,5.029788205754606,3.606275779901703,6.506002411624319,38676919811
2025-03-16,5.046093267025212,3.7343995850939606,6.376050917491446,38676919811
2025-03-17,5.062398328295817,3.5982298507968618,6.360728232837381,38676919811
2025-01-28,1.9585692741318839,0.29902461034782324,3.720558821800517,38676944496
2025-01-29,1.9571100620260575,0.28823084057458875,3.6472360471628136,38676944496
2025-01-30,1.9556508499202312,0.2562409198687613,3.799590194961119,38676944496
2025-01-31,1.9541916378144053,0.19666153438759248,3.6389152424759073,38676944496
2025-02-01,1.9527324257085794,0.16995085313664574,3.6972850451913564,38676944496
2025-02-02,1.951273213602753,0.26725094106767433,3.7997769074568715,38676944496
2025-02-03,1.9498140014969272,0.3091430390101517,3.6867227322363187,38676944496
2025-02-04,1.9483547893911008,0.20107624667130167,3.725720272963795,38676944496
2025-02-05,1.946895577285275,0.23369003064953378,3.678231829961978,38676944496
2025-02-06,1.9454363651794486,0.19855743830918426,3.7129226263748967,38676944496
2025-02-07,1.9439771530736223,0.24267582307642174,3.630077018231209,38676944496
2025-02-08,1.9425179409677964,0.13763545579003506,3.764245043561589,38676944496
2025-02-09,1.94105872886197,0.17663884687038764,3.6840303696008636,38676944496
2025-02-10,1.9395995167561437,0.14503042681623723,3.712378163899229,38676944496
2025-02-11,1.9381403046503178,0.2930581415253991,3.73355826147179,38676944496
2025-02-12,1.936681092544492,0.30127199730733495,3.7350505925685726,38676944496
2025-02-13,1.9352218804386656,0.31487713128277234,3.6972623062744026,38676944496
2025-02-14,1.9337626683328397,0.23279194433648648,3.763880941430182,38676944496
2025-02-15,1.9323034562270134,0.2771552312168983,3.62648680501581,38676944496
2025-02-16,1.9308442441211875,0.1480237039114049,3.6512676951728267,38676944496
2025-02-17,1.9293850320153612,0.23799059198827616,3.6626794801807074,38676944496
2025-02-18,1.9279258199095348,0.10395592448593961,3.7618717433049667,38676944496
2025-02-19,1.926466607803709,0.2824153390538258,3.73162102434069,38676944496
2025-02-20,1.9250073956978826,0.09571758075228211,3.7020681185402498,38676944496
2025-02-21,1.9235481835920563,0.11165635245778657,3.5614967273668166,38676944496
2025-02-22,1.9220889714862304,0.24092495425552266,3.7171684323287812,38676944496
2025-02-23,1.920629759380404,0.10892012042192238,3.6319912247330293,38676944496
2025-02-24,1.9191705472745781,0.16715410160462552,3.6955528385758307,38676944496
2025-02-04,1.911079425080078,1.1205973690695774,2.820742996328653,38677029055
2025-02-05,1.9138186048006771,1.113734026160734,2.730430793290164,38677029055
2025-02-06,1.9165577845212765,1.1065117940558296,2.752731511044053,38677029055
2025-02-07,1.9192969642418753,1.1608175935326006,2.7553405406009848,38677029055
2025-02-08,1.922036143962475,1.127582610737174,2.7129785021752135,38677029055
2025-02-09,1.9247753236830738,1.1267780702487067,2.7589860215305775,38677029055
2025-02-10,1.927514503403673,1.120249636415565,2.770411099316951,38677029055
2025-02-11,1.9302536831242723,1.0742592565249152,2.7081353582296575,38677029055
2025-02-12,1.9329928628448716,1.0442653454981752,2.7829278578376337,38677029055
2025-02-13,1.9357320425654707,1.1134538512912966,2.781831799573607,38677029055
2025-02-14,1.9384712222860698,1.1314422405401876,2.746874436425581,38677029055
2025-02-15,1.9412104020066692,1.1361328558718429,2.718583036370699,38677029055
2025-02-16,1.9439495817272685,1.1302683326492948,2.735681451995815,38677029055
2025-02-17,1.9466887614478676,1.1411453208144164,2.8061565723002473,38677029055
2025-02-18,1.9494279411684665,1.123731527358318,2.7762661009893743,38677029055
2025-02-19,1.9521671208890656,1.1664567666015988,2.7862295647593838,38677029055
2025-02-20,1.954906300609665,1.2008303497109798,2.782487606005688,38677029055
2025-02-21,1.9576454803302643,1.1620445773458596,2.7582178468578364,38677029055
2025-02-22,1.9603846600508634,1.1551939781418796,2.789509735439706,38677029055
2025-02-23,1.9631238397714625,1.125027812947205,2.7595680884574674,38677029055
2025-02-24,1.9658630194920619,1.2136692773745419,2.7628604238117522,38677029055
2025-02-25,1.9686021992126612,1.1667915871908026,2.718499147168617,38677029055
2025-02-26,1.9713413789332603,1.1323738978585303,2.813272705633308,38677029055
2025-02-27,1.9740805586538592,1.2015419174247126,2.8165161034233064,38677029055
2025-02-28,1.9768197383744588,1.191520808719022,2.8337475373939522,38677029055
2025-03-01,1.9795589180950577,1.1783771610828262,2.8045464905605804,38677029055
2025-03-02,1.982298097815657,1.1528870318240418,2.7573032595615214,38677029055
2025-03-03,1.9850372775362561,1.2246225457866964,2.7627404906608724,38677029055
2025-02-25,3.2246091024354464,2.389012980486004,4.113237511579116,38677032646
2025-02-26,3.2304185850721754,2.313886165945544,4.121296065817969,38677032646
2025-02-27,3.2362280677089044,2.385216627066095,4.151999155968062,38677032646
2025-02-28,3.2420375503456333,2.3374541333915677,4.1703173682316725,38677032646
2025-03-01,3.247847032982362,2.3873534747088065,4.175642560662783,38677032646
